word,length,minimum_age
barillet,8,6
barils,6,5
bariole,7,6
barioler,8,6
barman,6,5
baron,5,5
baronnet,8,6
barons,6,5
baroque,7,6
barque,6,5
barrage,7,6
barrages,8,6
barre,5,5
barreau,7,6
barreaux,8,6
barrer,6,5
barres,6,5
barriere,8,6
barrique,8,6
barriste,8,6
barrot,6,5
Barry,5,5
bars,4,5
Barsac,6,5
baryton,7,6
baryum,6,5
bas,3,5
basalte,7,6
bascule,7,6
bascule,7,6
basculer,8,6
base,4,5
base,4,5
basee,5,5
baser,5,5
bases,5,5
basique,7,6
basket,6,5
basque,6,5
basse,5,5
basses,6,5
bassesse,8,6
bassin,6,5
bassine,7,6
bassiner,8,6
bastaing,8,6
Bastia,6,5
bastille,8,6
bastion,7,6
bastos,6,5
bat,3,5
bataille,8,6
batard,6,5
Batavia,7,6
bateau,6,5
bateaux,7,6
bath,4,5
bati,4,5
batiment,8,6
batir,5,5
batisse,7,6
baton,5,5
batons,6,5
bats,4,5
battage,7,6
battant,7,6
battants,8,6
battent,7,6
batterie,8,6
batteur,7,6
battre,6,5
battu,5,5
battue,6,5
battus,6,5
baudet,6,5
baume,5,5
bavard,6,5
bavarde,7,6
bavarder,8,6
bave,4,5
baver,5,5
"baver de",8,6
Baviere,7,6
bavure,6,5
bavures,7,6
Bayonne,7,6
bazar,5,5
bazarder,8,6
BBC,3,5
bd,2,5
Beatles,7,6
Beatrice,8,6
beau,4,5
beaucoup,8,6
beaute,6,5
Beauvau,7,6
beaux,5,5
bebe,4,5
bebes,5,5
Bebes,5,5
bebete,6,5
bec,3,5
becane,6,5
becher,6,5
Becker,6,5
Beckett,7,6
becot,5,5
becoter,7,6
been,4,5
beer,4,5
begayer,7,6
beige,5,5
beigne,6,5
Bekaa,5,5
bel,3,5
"bel age",7,6
Belarus,7,6
beler,5,5
Belfast,7,6
Belfond,7,6
Belfort,7,6
belge,5,5
belges,6,5
Belges,6,5
Belgique,8,6
Belgrade,8,6
belier,6,5
Bell,4,5
belle,5,5
belles,6,5
ben,3,5
benefice,8,6
benevole,8,6
benin,5,5
Benin,5,5
beninois,8,6
Beninois,8,6
benir,5,5
benjamin,8,6
benoit,6,5
Benz,4,5
bercail,7,6
berceau,7,6
bercer,6,5
bercez,6,5
Bercy,5,5
beret,5,5
berge,5,5
berger,6,5
bergerie,8,6
berges,6,5
Bergman,7,6
Berkeley,8,6
Berlin,6,5
Berlioz,7,6
Bermudes,8,6
Bernard,7,6
berne,5,5
berne,5,5
berner,6,5
Berry,5,5
Bertin,6,5
Bertrand,8,6
Besancon,8,6
besogne,7,6
besogner,8,6
besoin,6,5
besoins,7,6
Besson,6,5
best,4,5
bestiaux,8,6
bestiole,8,6
beta,4,5
betail,6,5
bete,4,5
betes,5,5
betise,6,5
beton,5,5
bette,5,5
beurre,6,5
beurrer,7,6
beuverie,8,6
bevue,5,5
Beyrouth,8,6
Bhutto,6,5
biais,5,5
biaiser,7,6
Biarritz,8,6
bibelot,7,6
bibelots,8,6
bible,5,5
Bible,5,5
biblique,8,6
bic,3,5
bide,4,5
bidon,5,5
bidonner,8,6
bien,4,5
bienfait,8,6
biens,5,5
bientot,7,6
biere,5,5
biffer,6,5
bigarre,7,6
bigarrer,8,6
bige,4,5
bigle,5,5
bigleux,7,6
bijou,5,5
bijoux,6,5
bilan,5,5
bilans,6,5
Bilbao,6,5
bile,4,5
biler,5,5
bileux,6,5
bilingue,8,6
bill,4,5
billes,6,5
billet,6,5
billets,7,6
Billy,5,5
binaire,7,6
binome,6,5
bio,3,5
biologie,8,6
bipede,6,5
bique,5,5
biquet,6,5
biquette,8,6
Birkenau,8,6
birman,6,5
Birman,6,5
Birmane,7,6
Birmanie,8,6
Birmans,7,6
bis,3,5
biscornu,8,6
biscotte,8,6
biscuit,7,6
bise,4,5
bishop,6,5
bison,5,5
bisou,5,5
bistrot,7,6
bit,3,5
bitos,5,5
bitumage,8,6
bitume,6,5
bitume,6,5
bitumer,7,6
biturer,7,6
bivouac,7,6
bizarre,7,6
bizarres,8,6
black,5,5
blafard,7,6
blague,6,5
blaguer,7,6
blair,5,5
blaireau,8,6
Blaise,6,5
Blake,5,5
blame,5,5
blamer,6,5
blanc,5,5
blanche,7,6
blanches,8,6
blanchir,8,6
blancs,6,5
blase,5,5
blason,6,5
blatte,6,5
ble,3,5
bled,4,5
bleme,5,5
blemir,6,5
blessant,8,6
blesse,6,5
blesse,6,5
blessee,7,6
blessees,8,6
blesser,7,6
blesses,7,6
blessure,8,6
bleu,4,5
bleue,5,5
bleues,6,5
bleus,5,5
blinde,6,5
blindes,7,6
blini,5,5
blinis,6,5
bloc,4,5
blocage,7,6
blocages,8,6
Bloch,5,5
blocs,5,5
blocus,6,5
Blois,5,5
blond,5,5
blonde,6,5
bloque,6,5
bloque,6,5
bloquee,7,6
bloquees,8,6
bloquent,8,6
bloquer,7,6
bloques,7,6
blot,4,5
blouse,6,5
blouson,7,6
blues,5,5
bluffer,7,6
bluffeur,8,6
Blum,4,5
blutoir,7,6
BMW,3,5
BNP,3,5
bob,3,5
Bobigny,7,6
bobine,6,5
bobonne,7,6
bocage,6,5
bocal,5,5
bock,4,5
Boeing,6,5
boeuf,5,5
Bogart,6,5
Bogota,6,5
boire,5,5
bois,4,5
boisson,7,6
boissons,8,6
boite,5,5
boite,5,5
boiter,6,5
boites,6,5
boiteux,7,6
boiton,6,5
bol,3,5
Bolivie,7,6
bolivien,8,6
Bolivien,8,6
bombance,8,6
bombe,5,5
bombes,6,5
bon,3,5
bonace,6,5
bonasse,7,6
bonbon,6,5
bond,4,5
bonde,5,5
bondir,6,5
bonds,5,5
Bondy,5,5
bongo,5,5
bonheur,7,6
bonhomie,8,6
bonhomme,8,6
bonjour,7,6
Bonn,4,5
bonne,5,5
bonnes,6,5
bonnet,6,5
bons,4,5
bonsoir,7,6
bonte,5,5
bonus,5,5
boom,4,5
bord,4,5
borde,5,5
bordeaux,8,6
bordel,6,5
